Interest in being stationed in the US,Proficient in physical training exercises,Able to appropriately utilize survival skills learned in SERE,Proficiency in multiple languages,Experience leading missions,Experience leading night missions,Academic performance,Ability to exercise medical training in the field
78,84,70,63,69,62,42,58
70,57,74,61,55,71,33,64
56,98,61,50,100,100,51,100
87,89,81,84,85,80,84,85
98,100,100,100,100,100,100,100
67,80,72,68,77,87,83,81
69,80,33,20,54,60,63,58
64,59,76,50,72,85,50,50
62,28,81,54,64,67,22,14
96,98,96,95,93,96,96,98
49,49,83,28,73,92,6,82
80,,,,73,94,67,100
98,98,99,39,100,100,32,100
88,,,,94,93,26,83
74,98,99,65,97,96,42,76
66,68,64,77,81,71,64,74
50,27,72,26,100,100,0,100
59,58,54,68,45,53,57,45
100,0,86,13,100,100,0,100
96,100,97,98,98,98,21,49
72,54,59,59,58,54,62,56
69,13,72,75,62,93,24,84
97,96,96,96,99,99,98,98
100,100,100,99,100,100,100,100
100,77,86,94,95,100,6,79
80,33,80,30,100,100,41,75
58,62,64,62,67,61,61,63
51,47,50,54,51,74,52,78
97,95,98,97,96,97,96,95
91,86,90,70,95,95,37,87
60,50,75,50,75,50,50,50
74,38,80,53,78,72,58,72
72,74,78,80,78,73,62,72
83,70,71,76,80,80,20,78
98,68,84,87,100,100,23,98
72,34,83,35,94,80,33,99
100,100,100,100,100,100,100,100
50,25,79,69,93,84,30,91
49,36,50,58,68,78,29,52
95,62,80,78,95,95,40,98
62,40,56,47,44,59,41,58
56,7,77,55,83,100,22,51
75,30,100,63,100,100,25,100
79,54,71,55,80,70,22,81
75,50,60,39,93,74,24,67
94,84,99,100,84,98,96,96
74,80,83,61,64,79,77,81
89,58,89,36,77,68,17,64
85,89,77,78,70,83,79,68
97,96,100,96,97,99,94,97
99,100,95,100,100,99,100,100
70,55,70,45,80,100,40,100
94,95,90,85,93,93,90,81
50,61,63,50,52,49,50,49
100,100,100,100,100,100,100,100
99,99,99,96,99,98,95,91
67,56,74,80,83,57,71,76
75,83,72,76,81,78,84,75
82,90,93,88,72,87,85,90
59,76,60,68,89,85,36,76
75,67,50,77,47,62,67,74
88,89,77,91,89,76,88,75
80,89,97,17,96,92,19,92
77,62,71,68,69,65,66,81
97,100,100,96,100,100,99,99
55,50,50,23,81,78,16,42
68,,,,63,89,26,75
55,60,68,58,71,67,63,32
50,58,23,46,100,80,48,47
64,24,100,21,38,100,0,100
42,34,14,70,83,78,27,74
100,100,70,69,100,100,10,100
83,79,95,78,88,70,91,81
71,65,70,34,29,82,80,73
28,11,57,34,63,73,37,78
74,75,81,86,82,71,81,73
91,80,91,92,94,65,88,84
47,59,40,67,75,54,39,76
99,98,98,99,98,98,99,99
82,34,58,26,64,61,32,59
97,45,91,88,93,97,20,84
77,31,79,39,98,89,9,90
100,26,91,28,100,100,23,77
75,90,79,95,90,90,81,100
79,82,81,78,82,83,91,83
96,96,96,94,99,96,90,98
63,63,44,71,61,60,33,38
64,58,59,61,57,62,61,58
74,71,92,95,89,94,91,79
73,75,75,74,67,71,45,62
100,60,100,34,75,100,26,100
100,62,98,62,68,100,0,100
99,100,100,99,99,99,100,99
90,96,90,94,88,92,93,91
75,25,100,25,100,100,0,0
78,75,78,81,85,82,83,79
84,40,67,50,61,88,3,31
0,67,22,49,100,100,52,100
100,100,100,100,100,95,100,99
69,74,88,98,68,65,83,95
100,100,100,100,84,88,49,95
73,,,,95,80,19,87
50,50,50,50,50,50,50,50
71,70,77,78,75,66,84,82
98,98,98,99,99,99,99,98
100,79,41,64,36,66,41,69
60,62,61,54,61,64,54,62
33,25,63,63,37,33,38,30
84,85,77,61,75,78,82,81
82,87,75,77,100,76,47,79
76,,,,67,76,41,68
89,85,87,88,88,89,88,89
100,92,83,86,70,76,67,40
60,92,93,95,94,89,39,96
56,35,76,23,88,80,23,87
92,68,83,67,91,98,37,76
93,69,80,90,94,86,28,89
92,89,75,74,97,92,53,79
82,63,66,66,74,60,61,60
66,62,63,63,60,67,86,83
100,100,100,100,100,100,100,100
87,87,96,98,97,95,98,100
31,72,62,29,80,88,20,100
75,80,78,79,85,83,31,78
88,87,75,91,89,84,95,69
82,76,27,72,71,70,73,79
56,,,,56,60,57,56
67,12,90,10,87,96,6,97
83,83,64,64,70,67,69,62
74,62,80,54,52,100,39,80
39,52,82,50,50,71,25,50
19,77,90,88,89,97,19,10
100,100,80,100,100,91,100,100
95,95,87,94,93,92,86,93
75,64,31,30,67,33,35,67
93,48,85,46,87,98,51,89
75,75,51,60,43,78,57,63
60,,,,63,63,61,37
76,81,50,69,50,94,50,54
98,96,100,98,98,99,99,99
98,60,98,99,96,90,85,95
70,56,47,66,69,63,40,55
77,50,90,51,100,100,20,100
29,,,,38,74,22,64
82,83,84,82,80,81,90,83
90,63,75,60,54,96,55,61
81,82,84,72,76,77,71,81
51,,,,51,53,50,51
85,85,87,63,83,71,39,30
74,26,33,75,35,69,26,30
98,99,99,99,99,99,99,100
74,34,61,58,87,94,20,85
27,57,49,57,49,70,50,69
80,76,59,68,51,73,70,41
77,70,85,30,100,61,17,38
98,25,100,94,98,97,27,97
71,27,71,28,70,77,23,77
64,83,65,55,54,93,10,58
82,,,,79,74,36,92
